ind,naics3,ambiguous,assignment,desc,naics_raw,note
170,111,FALSE,auto,Crop production,111,""
180,112,FALSE,auto,Animal production and aquaculture,112,""
190,113,FALSE,auto,Forestry except logging,"1131, 1132",""
270,113,FALSE,auto,Logging,1133,""
280,114,FALSE,auto,"Fishing, hunting and trapping",114,""
290,115,FALSE,auto,Support activities for agriculture and forestry,115,""
370,211,FALSE,auto,Oil and gas extraction,211,""
380,212,FALSE,auto,Coal mining,2121,""
390,212,FALSE,auto,Metal ore mining,2122,""
470,212,FALSE,auto,Nonmetallic mineral mining and quarrying,2123,""
480,,TRUE,auto,Not specified type of mining,Part of 21,""
490,213,FALSE,auto,Support activities for mining,213,""
570,221,FALSE,auto,"Electric power generation, transmission and distribution",2211,""
580,221,FALSE,auto,Natural gas distribution,2212,""
590,221,FALSE,auto,"Electric and gas, and other combinations","Pts. 2211, 2212",""
670,221,FALSE,auto,"Water, steam, air-conditioning, and irrigation systems","22131, 22133",""
680,221,FALSE,auto,Sewage treatment facilities,22132,""
690,,TRUE,auto,Not specified utilities,Part of 22,""
770,,TRUE,auto,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),23,""
1070,311,FALSE,auto,"Animal food, grain and oilseed milling","3111, 3112",""
1080,311,FALSE,auto,Sugar and confectionery products,3113,""
1090,311,FALSE,auto,Fruit and vegetable preserving and specialty food manufacturing,3114,""
1170,311,FALSE,auto,Dairy product manufacturing,3115,""
1180,311,FALSE,auto,Animal slaughtering and processing,3116,""
1190,311,FALSE,auto,Retail bakeries,311811,""
1270,311,FALSE,auto,"Bakeries and tortilla manufacturing, except retail bakeries",3118 exc. 311811,""
1280,311,FALSE,auto,"Seafood and other miscellaneous foods, n.e.c.","3117, 3119",""
1290,311,FALSE,auto,Not specified food industries,Part of 311,""
1370,312,FALSE,auto,Beverage manufacturing,3121,""
1390,312,FALSE,auto,Tobacco manufacturing,3122,""
1470,313,FALSE,auto,"Fiber, yarn, and thread mills",3131,""
1480,313,FALSE,auto,"Fabric mills, except knitting mills",3132 exc. 31324,""
1490,313,FALSE,auto,Textile and fabric finishing and fabric coating mills,3133,""
1570,314,FALSE,auto,Carpet and rug mills,31411,""
1590,314,FALSE,auto,"Textile product mills, except carpet and rug",314 exc. 31411,""
1670,,TRUE,auto,"Knitting fabric mills, and apparel knitting mills","31324, 3151",""
1691,315,FALSE,auto,"Cut and sew, and apparel accessories and other apparel manufacturing","3152, 3159",""
1770,316,FALSE,auto,Footwear manufacturing,3162,""
1790,316,FALSE,auto,"Leather and hide tanning and finishing, and other leather and allied product manufacturing","3161, 3169",""
1870,322,FALSE,auto,"Pulp, paper, and paperboard mills",3221,""
1880,322,FALSE,auto,Paperboard container manufacturing,32221,""
1890,322,FALSE,auto,Miscellaneous paper and pulp products,"32222,32223, 32229",""
1990,323,FALSE,auto,Printing and related support activities,3231,""
2070,324,FALSE,auto,Petroleum refining,32411,""
2090,324,FALSE,auto,Miscellaneous petroleum and coal products,"32412, 32419",""
2170,325,FALSE,auto,"Resin, synthetic rubber, and fibers and filaments manufacturing",3252,""
2180,325,FALSE,auto,Agricultural chemical manufacturing,3253,""
2190,325,FALSE,auto,Pharmaceutical and medicine manufacturing,3254,""
2270,325,FALSE,auto,"Paint, coating, and adhesive manufacturing",3255,""
2280,325,FALSE,auto,"Soap, cleaning compound, and cosmetics manufacturing",3256,""
2290,325,FALSE,auto,Industrial and miscellaneous chemicals,"3251, 3259",""
2370,326,FALSE,auto,Plastics product manufacturing,3261,""
2380,326,FALSE,auto,Tire manufacturing,32621,""
2390,326,FALSE,auto,"Rubber products, except tires, manufacturing","32622, 32629",""
2470,327,FALSE,auto,"Pottery, ceramics, and plumbing fixture manufacturing",32711,""
2480,327,FALSE,auto,Clay building material and refractories manufacturing,327120,""
2490,327,FALSE,auto,Glass and glass product manufacturing,3272,""
2570,327,FALSE,auto,"Cement, concrete, lime, and gypsum product manufacturing","3273, 3274",""
2590,327,FALSE,auto,Miscellaneous nonmetallic mineral product manufacturing,3279,""
2670,331,FALSE,auto,Iron and steel mills and steel product manufacturing,"3311, 3312",""
2680,331,FALSE,auto,Aluminum production and processing,3313,""
2690,331,FALSE,auto,Nonferrous metal (except aluminum) production and processing,3314,""
2770,331,FALSE,auto,Foundries,3315,""
2780,332,FALSE,auto,Metal forgings and stampings,3321,""
2790,332,FALSE,auto,Cutlery and hand tool manufacturing,3322,""
2870,332,FALSE,auto,"Structural metals, and boiler, tank, and shipping container manufacturing","3323, 3324",""
2880,332,FALSE,auto,"Machine shops; turned product; screw, nut, and bolt manufacturing",3327,""
2890,332,FALSE,auto,"Coating, engraving, heat treating, and allied activities",3328,""
2970,332,FALSE,auto,Ordnance,"332992, 332993, 332994",""
2980,332,FALSE,auto,Miscellaneous fabricated metal products manufacturing,"3325, 3326, 3329 exc. 332992, 332993, 332994",""
2990,331,FALSE,auto,Not specified metal industries,Part of 331 and 332,""
3070,333,FALSE,auto,Agricultural implement manufacturing,33311,""
3080,333,FALSE,auto,"Construction, and mining and oil and gas field machinery manufacturing","33312, 33313",""
3095,333,FALSE,auto,Commercial and service industry machinery manufacturing,3333,""
3170,333,FALSE,auto,Metalworking machinery manufacturing,3335,""
3180,333,FALSE,auto,"Engine, turbine, and power transmission equipment manufacturing",3336,""
3291,333,FALSE,auto,"Machinery manufacturing, n.e.c. or not specified","3332, 3334, 3339, Part of 333",""
3365,334,FALSE,auto,Computer and peripheral equipment manufacturing,3341,""
3370,334,FALSE,auto,"Communications, audio, and video equipment manufacturing","3342, 3343",""
3380,334,FALSE,auto,"Navigational, measuring, electromedical, and control instruments manufacturing",3345,""
3390,334,FALSE,auto,"Electronic component and product manufacturing, n.e.c.","3344, 3346",""
3470,335,FALSE,auto,Household appliance manufacturing,3352,""
3490,335,FALSE,auto,"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.","3351, 3353, 3359",""
3570,336,FALSE,auto,Motor vehicles and motor vehicle equipment manufacturing,"3361, 3362, 3363",""
3580,336,FALSE,auto,Aircraft and parts manufacturing,"336411, 336412, 336413",""
