btos_sector,btos_title,ces_industry_code,ces_title,jolts_industry_code,jolts_title,note
11,"Agriculture, forestry, fishing and hunting",,,,,"Dropped: CES and JOLTS are nonfarm universes, no counterpart exists."
21,"Mining, quarrying, and oil and gas extraction",10210000,"Mining, quarrying, and oil and gas extraction",110099,"Mining and logging","JOLTS 'mining and logging' also contains NAICS 113 (logging), which BTOS puts in sector 11. Small: logging is under 50k jobs."
22,"Utilities",44220000,"Utilities",480099,"Transportation, warehousing, and utilities","JOLTS combo: pooled with sector 48 on the BTOS side."
23,"Construction",20000000,"Construction",230000,"Construction",
31,"Manufacturing",30000000,"Manufacturing",300000,"Manufacturing","BTOS code 31 covers NAICS 31-33."
42,"Wholesale trade",41420000,"Wholesale trade",420000,"Wholesale trade",
44,"Retail trade",42000000,"Retail trade",440000,"Retail trade","BTOS code 44 covers NAICS 44-45."
48,"Transportation and warehousing",43000000,"Transportation and warehousing",480099,"Transportation, warehousing, and utilities","BTOS code 48 covers NAICS 48-49. JOLTS combo: pooled with sector 22."
51,"Information",50000000,"Information",510000,"Information",
52,"Finance and insurance",55520000,"Finance and insurance",520000,"Finance and insurance",
53,"Real estate and rental and leasing",55530000,"Real estate and rental and leasing",530000,"Real estate and rental and leasing",
54,"Professional, scientific, and technical services",60540000,"Professional, scientific, and technical services",540099,"Professional and business services","JOLTS combo: pooled with sectors 55 and 56."
55,"Management of companies and enterprises",60550000,"Management of companies and enterprises",540099,"Professional and business services","JOLTS combo: pooled with sectors 54 and 56."
56,"Administrative and support and waste management services",60560000,"Administrative and support and waste management and remediation services",540099,"Professional and business services","JOLTS combo: pooled with sectors 54 and 55."
61,"Educational services",65610000,"Private educational services",610000,"Private educational services","CES and JOLTS cover private education only; BTOS sector 61 is also private-employer only."
62,"Health care and social assistance",65620000,"Health care and social assistance",620000,"Health care and social assistance",
71,"Arts, entertainment, and recreation",70710000,"Arts, entertainment, and recreation",710000,"Arts, entertainment, and recreation",
72,"Accommodation and food services",70720000,"Accommodation and food services",720000,"Accommodation and food services",
81,"Other services (except public administration)",80000000,"Other services",810000,"Other services",
