btos_subsector,qwi_naics3,relation,title,note
221,221,identity,Utilities,""
236,236,identity,Construction of Buildings,""
237,237,identity,Heavy and Civil Engineering Construction,""
238,238,identity,Specialty Trade Contractors,""
311,311,identity,Food Manufacturing,""
312,312,identity,Beverage and Tobacco Product Manufacturing,""
321,321,identity,Wood Product Manufacturing,""
323,323,identity,Printing and Related Support Activities,""
325,325,identity,Chemical Manufacturing,""
326,326,identity,Plastics and Rubber Products Manufacturing,""
332,332,identity,Fabricated Metal Product Manufacturing,""
333,333,identity,Machinery Manufacturing,""
334,334,identity,Computer and Electronic Product Manufacturing,""
335,335,identity,"Electrical Equipment, Appliance, and Component Manufacturing",""
336,336,identity,Transportation Equipment Manufacturing,""
337,337,identity,Furniture and Related Product Manufacturing,""
339,339,identity,Miscellaneous Manufacturing,""
423,423,identity,"Merchant Wholesalers, Durable Goods",""
424,424,identity,"Merchant Wholesalers, Nondurable Goods",""
425,425,identity,Wholesale Electronic Markets and Agents and Brokers,""
441,441,identity,Motor Vehicle and Parts Dealers,""
444,444,identity,Building Material and Garden Equipment and Supplies Dealers,""
445,445,identity,Food and Beverage Stores,""
484,484,identity,Truck Transportation,""
485,485,identity,Transit and Ground Passenger Transportation,""
488,488,identity,Support Activities for Transportation,""
492,492,identity,Couriers and Messengers,""
512,512,identity,Motion Picture and Sound Recording Industries,""
517,517,identity,Telecommunications,""
518,518,identity,"Data Processing, Hosting, and Related Services",""
519,519,identity,Other Information Services,""
522,522,identity,Credit Intermediation and Related Activities,""
523,523,identity,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",""
524,524,identity,Insurance Carriers and Related Activities,""
531,531,identity,Real Estate,""
532,532,identity,Rental and Leasing Services,""
533,533,identity,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),""
541,541,identity,"Professional, Scientific, and Technical Services",""
551,551,identity,Management of Companies and Enterprises,""
561,561,identity,Administrative and Support Services,""
562,562,identity,Waste Management and Remediation Services,""
611,611,identity,Educational Services,""
621,621,identity,Ambulatory Health Care Services,""
623,623,identity,Nursing and Residential Care Facilities,""
624,624,identity,Social Assistance,""
711,711,identity,"Performing Arts, Spectator Sports, and Related Industries",""
712,712,identity,"Museums, Historical Sites, and Similar Institutions",""
713,713,identity,"Amusement, Gambling, and Recreation Industries",""
721,721,identity,Accommodation,""
722,722,identity,Food Services and Drinking Places,""
811,811,identity,Repair and Maintenance,""
812,812,identity,Personal and Laundry Services,""
446,456,rename,Health and Personal Care Retailers,"NAICS 2017 446 renumbered to 2022 456; scope essentially unchanged"
447,457,rename,Gasoline Stations and Fuel Dealers,"NAICS 2017 447 renumbered to 2022 457; 2022 also absorbs fuel dealers from wholesale 4247, a small addition"
448,458,rename,"Clothing, Accessories, Shoe and Jewelry Retailers","NAICS 2017 448 renumbered to 2022 458; shoe and jewelry retail folded in"
452,455,rename,General Merchandise Retailers,"NAICS 2017 452 renumbered to 2022 455; scope essentially unchanged"
511,513,rename,Publishing Industries,"NAICS 2017 511 renumbered to 2022 513; software publishers stay inside"
515,516,rename,Broadcasting and Content Providers,"NAICS 2017 515 renumbered to 2022 516; 2022 also absorbs web search portals from 519, so the QWI side is broader than the BTOS side"
442,449,pooled,"Furniture, Home Furnishings, Electronics and Appliance Retailers","NAICS 2022 449 = 2017 442 + 443. BTOS estimates for 442 and 443 are pooled with QWI EmpS weights, the same idiom as the two pooled rows in crosswalk_btos_jolts.csv"
443,449,pooled,"Furniture, Home Furnishings, Electronics and Appliance Retailers","paired with 442 above"
451,459,pooled,Other Miscellaneous Retailers,"NAICS 2022 459 draws on 2017 451 and 453. Pooled with QWI EmpS weights. Approximate: some of 2017 451 also went to 455"
453,459,pooled,Other Miscellaneous Retailers,"paired with 451 above"
454,,dropped,Nonstore Retailers,"NAICS 2022 dissolved 2017 454 and redistributed e-commerce across every retail subsector. There is no target to map to and no defensible way to split it"
52X,,dropped,Other Finance and Insurance,"BTOS residual category, not a NAICS subsector"
62X,,dropped,Other Health Care and Social Assistance,"BTOS residual category, not a NAICS subsector"
XXX,,dropped,All sectors,"BTOS total, not a subsector"
