strata_value,title,emp,pretrend,catchup,hours,strata_type,prebreak,reads_prebreak,initial,reads_initial,postbreak,reads_postbreak,future,reads_future,z_prebreak,z_initial,z_postbreak,z_future,level
236,Construction of Buildings,2.1913731711936,3.496460240646506,9.326945128216213,2.818327176336055,subsector,2.9320754716981132,53,1.7153846153846153,13,14.247058823529413,17,4.535185185185186,54,-0.6562850426944282,-0.6335552464363614,-0.334037994886854,-0.596861334922495,subsector
237,Heavy and Civil Engineering Construction,5.4595508116129565,4.088279229301719,5.073421225337338,7.802321728369321,subsector,3.94,5,NA,NA,10.806666666666667,15,3.9,13,-0.476740043867291,NA,-0.7164872547707665,-0.6931301224426412,subsector
238,Specialty Trade Contractors,2.208370638478385,3.373090872323772,7.778650957200384,2.6503418796036016,subsector,1.8666666666666667,54,1.1076923076923078,13,8.464705882352941,17,3.046296296296296,54,-0.8460699097936235,-0.7616997504259758,-0.9768300086778364,-0.8225176182058697,subsector
311,Food Manufacturing,1.541713154045521,1.6129527956880096,6.163039759120181,2.8070111696878897,subsector,4.472222222222222,18,3.4333333333333336,3,14.617647058823529,17,5.128205128205129,39,-0.3819335027211424,-0.27129019296361173,-0.29284176205996515,-0.5069831195274809,subsector
321,Wood Product Manufacturing,-6.21599247161706,1.3107267699085767,2.097273886982176,-4.6945436524369555,subsector,3.7333333333333334,3,NA,NA,9.75,12,5.233333333333333,6,-0.5135542748760251,NA,-0.8339510106988642,-0.4910498687560371,subsector
323,Printing and Related Support Activities,-6.199381518436997,-1.7250690484953068,-15.966105764445793,-5.086227892403983,subsector,5.5325,40,4.3625,8,22.641176470588235,17,8.575471698113208,53,-0.1930626428282149,-0.07535616497527205,0.5990893740650601,0.015485257701799812,subsector
325,Chemical Manufacturing,0.3937671092073103,1.6559803870297785,5.09965493261042,1.2029113874785224,subsector,7.84,10,NA,NA,18.61875,16,7.788,25,0.21798012194269142,NA,0.15193859692320236,-0.1038641026925037,subsector
326,Plastics and Rubber Products Manufacturing,-5.464895190999286,1.0399079045303594,0.06487778732529037,-4.3588010061675675,subsector,5.6,3,NA,NA,14.892857142857142,14,6.627272727272727,11,-0.18103863995842676,NA,-0.2622481877950986,-0.27978414899276927,subsector
332,Fabricated Metal Product Manufacturing,-0.26265480620741855,1.7195270745144597,-2.4950736480048086,1.7661842428683627,subsector,1.8636363636363638,44,1.4636363636363636,11,10.041176470588235,17,3.0137254901960784,51,-0.8466097079022561,-0.6866415772030601,-0.8015825420491658,-0.8274540557755016,subsector
333,Machinery Manufacturing,-3.9578848654069354,1.8387126071951343,0.17594055088174798,-4.204572592001732,subsector,4.2043478260869565,23,3.2666666666666666,3,16.01764705882353,17,5.493181818181818,44,-0.4296508732081529,-0.3064353100915651,-0.13721154915838427,-0.451667182952341,subsector
334,Computer and Electronic Product Manufacturing,-5.055902901730924,1.4216016858511793,0.4606697059095666,-3.9624753202083696,subsector,7.712,25,7.875,4,24.74705882352941,17,10.821428571428571,42,0.1951790498340561,0.6653271784963443,0.8331886018750008,0.35588290874835526,subsector
335,"Electrical Equipment, Appliance, and Component Manufacturing",3.961801152958433,1.7742961701797455,4.079715874680545,-1.47386237426268,subsector,14.700000000000001,5,NA,NA,20.95,12,15.133333333333333,12,1.4399750802648659,NA,0.41109069251378094,1.009396014866998,subsector
336,Transportation Equipment Manufacturing,-2.54398484581726,2.0658361911251077,3.435481285905162,-2.978838039999232,subsector,5,4,NA,NA,15.87857142857143,14,7.15,14,-0.28791866546765477,NA,-0.15267181340521,-0.20055950408154372,subsector
337,Furniture and Related Product Manufacturing,-5.377220493687496,-0.9282901036637625,-9.753645550298184,-2.8221215870699368,subsector,6.36,5,NA,NA,11.98,15,5.32,10,-0.0456572743134044,NA,-0.5860543144342036,-0.47791465226640784,subsector
339,Miscellaneous Manufacturing,-1.8678995282766842,1.7381357849442836,0.7945245434167525,0.460502973900212,subsector,5.415384615384616,39,4.5285714285714285,7,19.1,17,7.742,50,-0.21392480165357372,-0.04033656612277568,0.20543648260812103,-0.11083587144469156,subsector
423,"Merchant Wholesalers, Durable Goods",-0.49616491327810763,1.4319003811343833,6.528095693659175,-0.2387999262486673,subsector,3.5888888888888886,54,2.315384615384615,13,15.4,17,5.714814814814815,54,-0.539284651387506,-0.5070328247757295,-0.2058719372031994,-0.4180764438136523,subsector
424,"Merchant Wholesalers, Nondurable Goods",-0.06941196276937234,0.17096883746610558,2.163705387304038,1.231918341466809,subsector,3.1444444444444444,54,1.6384615384615384,13,15.435294117647059,17,5.027777777777778,54,-0.6184550406536008,-0.6497760697261861,-0.2019484864577814,-0.5222039078660553,subsector
425,Wholesale Electronic Markets and Agents and Brokers,-12.03543750037186,-2.688889050365866,-4.781456518713778,-10.233348631943606,subsector,4.598076923076923,52,2.9,12,17.95294117647059,17,7.3388888888888895,54,-0.3595145799914646,-0.38375456777306244,0.0779243333820359,-0.1719314681426081,subsector
441,Motor Vehicle and Parts Dealers,-0.03334702490045416,0.5755874025183871,0.7272047031692708,0.7266916370841869,subsector,3.7962264150943397,53,2.5,12,15.7,17,5.338888888888889,54,-0.5023509179044079,-0.46810284888015036,-0.17252260586714652,-0.4750518486725143,subsector
444,Building Material and Garden Equipment and Supplies Dealers,-4.066623330826502,0.7960230414941805,8.198069468270841,-2.3963412193889866,subsector,2.1714285714285713,14,1.85,4,9.276470588235293,17,3.0035714285714286,28,-0.7917816428683014,-0.6051688056791683,-0.8865906415332225,-0.8289930072872956,subsector
445,Food and Beverage Stores,1.1487780067296782,-0.2018343180961324,2.641619474714929,1.9685530852617816,subsector,1.3,33,1.2285714285714286,7,5.2875,16,1.8066666666666666,45,-0.9470121561078946,-0.7362098852562514,-1.3300223143226526,-1.0103961207306096,subsector
484,Truck Transportation,-4.567399430056174,1.9451152902354707,0.4516105114442226,-2.964230582470151,subsector,1.4871794871794872,39,0.9222222222222223,9,6.147058823529412,17,2.13265306122449,49,-0.9136692421669815,-0.8008099576914418,-1.2344699409602848,-0.9609895607476399,subsector
485,Transit and Ground Passenger Transportation,8.227787724035807,-0.5559976963971991,-8.869211543650568,5.546754917600083,subsector,5.0625,8,NA,NA,11.307142857142857,14,6.288235294117647,17,-0.27678532947711015,NA,-0.6608521004307797,-0.33116872686869453,subsector
488,Support Activities for Transportation,0.11335345221183957,3.3585187578047737,8.709791698266844,2.9037848986508408,subsector,3.5666666666666664,21,1.9,3,9.675,16,4.4365853658536585,41,-0.5432431708508108,-0.5946252705407824,-0.8422883435328774,-0.6118051423004712,subsector
492,Couriers and Messengers,-0.27645018726039083,9.88077315063908,26.603313432862308,1.1746177989675033,subsector,8.866666666666667,9,NA,NA,14.5,8,8.98235294117647,17,0.4008637211473707,NA,-0.30591993121135846,0.07715225631570845,subsector
512,Motion Picture and Sound Recording Industries,-16.159151228804536,0.1245939210373237,-10.65830550261646,-21.811122006129402,subsector,17.964814814814815,54,14.392307692307693,13,33.241176470588236,17,24.49259259259259,54,2.021547564748721,2.0396364317267346,1.7774324146055995,2.4278871289393544,subsector
