level,outcome,h,est,se,p,ci_lo,ci_hi,n,clusters,pooled_sd,within_sd
subsector,emp,-1,-0.2305687512912839,0.16540968317966873,0.17084958830086344,-0.5547717303234345,0.09363422774086677,333,45,9.225309627051237,5.96489506708512
subsector,emp,0,-0.28905093203691906,0.16507554156662263,0.08691146882980906,-0.6125989935074994,0.03449712943366129,381,50,8.954172010346769,5.911756030315134
subsector,emp,1,-0.23906770040525788,0.17115981988649967,0.1700036597220724,-0.5745409473827972,0.09640554657228145,333,45,8.261345958049187,5.136829492556592
subsector,emp,2,-0.23365892627841547,0.1399369012538975,0.1036441643492537,-0.5079352527360546,0.04061740017922358,286,42,7.5131028155779385,4.199831171624115
subsector,hours,-1,-0.21101452300493181,0.21545879488007041,0.33313959793273074,-0.6333137609698698,0.2112847149600062,333,45,9.225309627051237,5.96489506708512
subsector,hours,0,-0.33634226900557973,0.17689360363497195,0.0638131648114374,-0.6830537321301247,0.010369194118965253,381,50,8.954172010346769,5.911756030315134
subsector,hours,1,-0.2486886365229036,0.23172775637381313,0.2894605560186802,-0.7028750390155774,0.20549776596977012,333,45,8.261345958049187,5.136829492556592
subsector,hours,2,-0.49198891836564607,0.18614185546293388,0.012087594545233936,-0.8568269550729964,-0.1271508816582957,286,42,7.5131028155779385,4.199831171624115
sector,emp,-1,-0.0488728829034106,0.14120603008079835,0.7337690712605005,-0.3256367018617754,0.22789093605495417,154,17,9.269101509810492,6.484415835110917
sector,emp,0,-0.13402198616526986,0.106135018957381,0.2247729321376128,-0.34204662332173663,0.0740026509911969,171,17,9.049470809428698,6.448453640986034
sector,emp,1,-0.21068338716238424,0.10139143778437897,0.054173581253668265,-0.409410605219767,-0.011956169105001468,154,17,8.190050930618218,5.567646557260162
sector,emp,2,-0.23605510319173453,0.12615903405782308,0.08237924103714031,-0.48332680994506777,0.011216603561598704,135,17,7.237552180345663,4.482203954797064
sector,hours,-1,0.03524236807998046,0.17454318269773397,0.8431108353114697,-0.30686227000757815,0.377347006167539,124,14,8.8508933550958009,5.659028219470181
sector,hours,0,-0.10246623085514142,0.18415068490423359,0.5873704231198471,-0.46340157326743925,0.25846911155715635,138,14,8.633862053406004,5.6315498056373565
sector,hours,1,-0.19351991489425271,0.22636480027665262,0.40808443664916316,-0.6371949234364919,0.2501550936479864,124,14,7.902185288083859,4.8421955314506855
sector,hours,2,-0.12492702541937613,0.2470747936700485,0.6230984923359097,-0.6091936210126712,0.35933957017391893,108,14,7.126327452890242,3.878329149393892
jolts,openings,-1,-0.21206259296915456,0.21095076966907697,0.33182623881247986,-0.6255261015205454,0.2014009155822363,142,15,9.036361661327161,6.4210593614552876
jolts,openings,0,-0.13579689750863555,0.13053132264701944,0.31581617241333043,-0.39163828989679367,0.12004449487952257,157,15,8.835558957770917,6.389134821259176
jolts,openings,1,-0.13449629666225862,0.15524823413145494,0.40091273847994446,-0.43878283555991027,0.16979024223539305,142,15,7.96273036988606,5.492271567711052
jolts,openings,2,-0.0787584661073317,0.14632462782550326,0.5995030464100445,-0.3655547366453181,0.2080378044306547,126,15,6.992634969169148,4.414288846906312
jolts,hires,-1,-0.12737477814662482,0.060648815912519416,0.05431282199512473,-0.24624645733516287,-0.008503098958086763,142,15,9.036361661327161,6.4210593614552876
jolts,hires,0,-0.14466222780155455,0.05115773484775439,0.01342565867388463,-0.24493138810315315,-0.044393067499955946,157,15,8.835558957770917,6.389134821259176
jolts,hires,1,-0.13332307854575717,0.04194822411901282,0.0067039715637261434,-0.2155415978190223,-0.05110455927249205,142,15,7.96273036988606,5.492271567711052
jolts,hires,2,-0.06560538501944954,0.04651960103657583,0.18193527143923036,-0.15678380305113818,0.025573033012239094,126,15,6.992634969169148,4.414288846906312
jolts,quits,-1,-0.09092152612631398,0.03655047870234216,0.026085786827668753,-0.1625604643829046,-0.01928258786972334,142,15,9.036361661327161,6.4210593614552876
jolts,quits,0,-0.10599882731929545,0.03528744331301626,0.009478557854306017,-0.1751622162128073,-0.03683543842578359,157,15,8.835558957770917,6.389134821259176
jolts,quits,1,-0.05011666726487032,0.045914241520852855,0.29346992404122796,-0.14010858064574191,0.039875246116001274,142,15,7.96273036988606,5.492271567711052
jolts,quits,2,-0.03672111109367221,0.0293926265287106,0.2335709622830956,-0.09433065908994498,0.020888436902600567,126,15,6.992634969169148,4.414288846906312
jolts,layoffs,-1,0.03155788335790276,0.054569532372693595,0.5722435871463787,-0.07539840009257669,0.1385141668083822,142,15,9.036361661327161,6.4210593614552876
jolts,layoffs,0,0.02366520819006245,0.03715326569017835,0.534427433076552,-0.04915519256268712,0.09648560894281201,157,15,8.835558957770917,6.389134821259176
jolts,layoffs,1,-0.01460641591657972,0.029486278125545017,0.6280282457779669,-0.07239952104264795,0.04318668920948851,142,15,7.96273036988606,5.492271567711052
jolts,layoffs,2,0.04402532001201376,0.04451915145347198,0.3407581110972733,-0.04323221683679132,0.13128285686081884,126,15,6.992634969169148,4.414288846906312
