naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source
11,AIOE,-0.557312953373555,-0.538838662952434,212,54301629.6502001,0.983531199253645,2,cps_occ_ind_2021_2022
21,AIOE,-0.19184849449041,-0.17621393482091,203,14394311.4548,0.993146819248091,2,cps_occ_ind_2021_2022
22,AIOE,0.117663786384564,0.130893374734306,236,31777432.5051,0.992006221791701,2,cps_occ_ind_2021_2022
31,AIOE,-0.315107158828184,-0.298514855085312,251,57284484.7982,0.940067480499799,2,cps_occ_ind_2021_2022
32,AIOE,-0.0659917100919845,-0.0513350823999152,314,89878078.9313,0.989572446397588,2,cps_occ_ind_2021_2022
33,AIOE,-0.0429536747813836,-0.0284760571564727,355,196856231.0582,0.989401118792064,2,cps_occ_ind_2021_2022
42,AIOE,0.273179102492244,0.285200306237779,290,76108067.9877,0.979247157429815,2,cps_occ_ind_2021_2022
44,AIOE,-0.120699677034442,-0.105617957675293,331,250402484.2225,0.985360040699471,2,cps_occ_ind_2021_2022
45,AIOE,-0.119868330313529,-0.104793070681971,290,121388084.7104,0.968804931758825,2,cps_occ_ind_2021_2022
48,AIOE,-0.426006527534923,-0.408552513877454,273,119681385.7299,0.982993693220035,2,cps_occ_ind_2021_2022
49,AIOE,-0.81346999040928,-0.793005309410816,210,78869250.5145,0.994527398356905,2,cps_occ_ind_2021_2022
51,AIOE,0.686758494689649,0.69556610518497,251,66527956.6479,0.990411224493961,2,cps_occ_ind_2021_2022
52,AIOE,1.13909864777054,1.1443914862773,274,181417816.5401,0.988317274873097,2,cps_occ_ind_2021_2022
53,AIOE,0.697531494162856,0.706255396332654,238,75911608.2154,0.974879062369595,2,cps_occ_ind_2021_2022
54,AIOE,0.983591691048635,0.99009284920553,359,316003884.9392,0.990673460753455,2,cps_occ_ind_2021_2022
55,AIOE,0.944405931407475,0.951211570626683,70,1939093.3916,0.976903023898706,2,cps_occ_ind_2021_2022
56,AIOE,-0.427722245281131,-0.410254900159203,343,157159261.0013,0.988413101534547,2,cps_occ_ind_2021_2022
61,AIOE,0.747427608310792,0.755763807856468,329,326622668.322399,0.992346315386463,2,cps_occ_ind_2021_2022
62,AIOE,0.218478183772498,0.230924424419035,340,476470186.4146,0.927716756270876,2,cps_occ_ind_2021_2022
71,AIOE,-0.0471036402025727,-0.0325937765298219,273,72646586.6197,0.960084870628453,2,cps_occ_ind_2021_2022
72,AIOE,-0.559739766284837,-0.541246619049912,278,242270570.6062,0.997474012756808,2,cps_occ_ind_2021_2022
81,AIOE,-0.184099504546213,-0.168525156053214,333,169635985.6193,0.95831377464503,2,cps_occ_ind_2021_2022
92,AIOE,0.607217921503457,0.616643577902251,357,89662219.3513,0.9399228924221,2,cps_occ_ind_2021_2022
11,ai_applicability_score,0.118222995160653,-0.492843496674321,212,54301629.6502001,0.983531199253645,2,cps_occ_ind_2021_2022
21,ai_applicability_score,0.137446933473676,-0.302027699837782,203,14394311.4548,0.993146819248091,2,cps_occ_ind_2021_2022
22,ai_applicability_score,0.175441670411718,0.0751060532140348,236,31777432.5051,0.992006221791701,2,cps_occ_ind_2021_2022
31,ai_applicability_score,0.142255538702037,-0.254297738194051,251,57284484.7982,0.940067480499799,2,cps_occ_ind_2021_2022
32,ai_applicability_score,0.160502219385371,-0.0731821489990141,314,89878078.9313,0.989572446397588,2,cps_occ_ind_2021_2022
33,ai_applicability_score,0.16700154503752,-0.00867018568425663,355,196856231.0582,0.989401118792064,2,cps_occ_ind_2021_2022
42,ai_applicability_score,0.199419076732318,0.313104522551578,290,76108067.9877,0.979247157429815,2,cps_occ_ind_2021_2022
44,ai_applicability_score,0.213183602895909,0.449730482602842,331,250402484.2225,0.985360040699471,2,cps_occ_ind_2021_2022
45,ai_applicability_score,0.210945640080127,0.427516581838567,290,121388084.7104,0.968804931758825,2,cps_occ_ind_2021_2022
48,ai_applicability_score,0.165341632287356,-0.0251463920132711,273,119681385.7299,0.982993693220035,2,cps_occ_ind_2021_2022
49,ai_applicability_score,0.138988861664045,-0.286722602020725,210,78869250.5145,0.994527398356905,2,cps_occ_ind_2021_2022
51,ai_applicability_score,0.245606902446685,0.771562442272614,251,66527956.6479,0.990411224493961,2,cps_occ_ind_2021_2022
52,ai_applicability_score,0.242231957974121,0.738062921605969,274,181417816.5401,0.988317274873097,2,cps_occ_ind_2021_2022
53,ai_applicability_score,0.210483629989543,0.422930694069585,238,75911608.2154,0.974879062369595,2,cps_occ_ind_2021_2022
54,ai_applicability_score,0.2332741665387,0.649148356712292,359,316003884.9392,0.990673460753455,2,cps_occ_ind_2021_2022
55,ai_applicability_score,0.222875768905374,0.545934410749824,70,1939093.3916,0.976903023898706,2,cps_occ_ind_2021_2022
56,ai_applicability_score,0.146554331129638,-0.21162815149693,343,157159261.0013,0.988413101534547,2,cps_occ_ind_2021_2022
61,ai_applicability_score,0.213214196991057,0.450034157976176,329,326622668.322399,0.992346315386463,2,cps_occ_ind_2021_2022
62,ai_applicability_score,0.148422008388289,-0.193089685624854,340,476470186.4146,0.927716756270876,2,cps_occ_ind_2021_2022
71,ai_applicability_score,0.207625274610186,0.394558809470659,273,72646586.6197,0.960084870628453,2,cps_occ_ind_2021_2022
