naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source,thin
111,AIOE,-0.584729352134017,-0.566042030900277,146,28827024.2646,0.995963817668366,3,cps_occ_ind_2021_2022,FALSE
112,AIOE,-0.52846504787856,-0.510214911359036,92,18293571.5055,0.995502947354588,3,cps_occ_ind_2021_2022,FALSE
113,AIOE,-0.565207743417494,-0.54667210892441,82,3162551.2108,0.993972335910891,3,cps_occ_ind_2021_2022,FALSE
114,AIOE,0.0643375138266091,0.0779814578062107,33,379574.5521,0.366116512276229,3,cps_occ_ind_2021_2022,FALSE
115,AIOE,-0.54313096557413,-0.524766871988553,86,3638908.1172,0.990896019770628,3,cps_occ_ind_2021_2022,FALSE
211,AIOE,0.193846792346345,0.206484423750555,78,1508460.1883,1,3,cps_occ_ind_2021_2022,FALSE
212,AIOE,-0.489681256171464,-0.471732477344318,120,3846891.2333,0.992516321079464,3,cps_occ_ind_2021_2022,FALSE
213,AIOE,-0.129460315671066,-0.114310524426031,172,9038960.0332,0.992280230136722,3,cps_occ_ind_2021_2022,FALSE
221,AIOE,0.117663786384564,0.130893374734306,236,31777432.5051,0.992006221791701,3,cps_occ_ind_2021_2022,FALSE
311,AIOE,-0.384582527656132,-0.367450386628003,208,38525420.8235,0.923672733357734,3,cps_occ_ind_2021_2022,FALSE
312,AIOE,-0.05102930871352,-0.0364889418240541,115,8045371.2322,0.956409455111909,3,cps_occ_ind_2021_2022,FALSE
313,AIOE,-0.320189868718341,-0.303558071319585,63,1959576.2656,0.997530393216123,3,cps_occ_ind_2021_2022,FALSE
314,AIOE,-0.337168825404053,-0.320405098171194,76,2787950.2929,0.991368628844364,3,cps_occ_ind_2021_2022,FALSE
315,AIOE,-0.246556891953313,-0.230497237271504,83,4797103.1916,0.995555545276325,3,cps_occ_ind_2021_2022,FALSE
316,AIOE,-0.0631211085014209,-0.0484867859485089,50,1169062.9924,0.957943558614429,3,cps_occ_ind_2021_2022,FALSE
321,AIOE,-0.555119532907188,-0.536662285794651,132,9919432.5212,0.987190770544707,3,cps_occ_ind_2021_2022,FALSE
322,AIOE,-0.294257291569328,-0.277826995397323,123,8272730.4197,0.990297889959213,3,cps_occ_ind_2021_2022,FALSE
323,AIOE,-0.0190663275422186,-0.00477431930525439,120,10297810.1368,0.991285636779438,3,cps_occ_ind_2021_2022,FALSE
324,AIOE,0.0865550752330233,0.100026384389133,136,4679035.5895,0.991175890564411,3,cps_occ_ind_2021_2022,FALSE
325,AIOE,0.266547604493371,0.278620336283123,244,34577349.8149,0.98610656233762,3,cps_occ_ind_2021_2022,FALSE
326,AIOE,-0.304343432114623,-0.287834764646106,141,12268439.5025,0.994587733144105,3,cps_occ_ind_2021_2022,FALSE
327,AIOE,-0.373280431505345,-0.356236109988025,145,9863280.94670001,0.994834401980015,3,cps_occ_ind_2021_2022,FALSE
331,AIOE,-0.390886307717186,-0.373705185077697,136,10493318.2801,0.996603850909359,3,cps_occ_ind_2021_2022,FALSE
332,AIOE,-0.34408311878444,-0.32726566613161,168,26851333.428,0.99295025848039,3,cps_occ_ind_2021_2022,FALSE
333,AIOE,-0.0756323941293866,-0.0609008564255173,195,28347412.3885,0.989526519670934,3,cps_occ_ind_2021_2022,FALSE
334,AIOE,0.529971288826591,0.539997166759765,180,24209928.3305,0.990124203455951,3,cps_occ_ind_2021_2022,FALSE
335,AIOE,-0.0599573636707781,-0.0453476240376753,129,9688626.666,0.986706293051407,3,cps_occ_ind_2021_2022,FALSE
336,AIOE,-0.053807227512393,-0.039245275647297,264,59698009.2426,0.98747303842257,3,cps_occ_ind_2021_2022,FALSE
337,AIOE,-0.562184700178141,-0.543672555325819,109,8915698.3966,0.989867686371458,3,cps_occ_ind_2021_2022,FALSE
339,AIOE,0.104839813797922,0.118169046937812,219,28651904.3259,0.987530780475812,3,cps_occ_ind_2021_2022,FALSE
423,AIOE,0.376128756700206,0.387350021376928,219,35988098.7727,0.983813200602215,3,cps_occ_ind_2021_2022,FALSE
424,AIOE,0.152238226045482,0.165199164196445,227,38559403.6934,0.976244880537485,3,cps_occ_ind_2021_2022,FALSE
425,AIOE,0.887344762585924,0.894593778313811,36,1560565.5216,0.949764088411455,3,cps_occ_ind_2021_2022,FALSE
441,AIOE,-0.117958194893711,-0.10289777739019,180,43013974.0523,0.97971655705054,3,cps_occ_ind_2021_2022,FALSE
442,AIOE,0.000267750124998577,0.0144095287744574,97,11707363.8898,0.977617041454053,3,cps_occ_ind_2021_2022,FALSE
443,AIOE,0.241388784982392,0.253657005749807,102,11603491.859,0.989120580623667,3,cps_occ_ind_2021_2022,FALSE
444,AIOE,-0.123432875531422,-0.108329918682188,174,37351731.1127,0.988894442069622,3,cps_occ_ind_2021_2022,FALSE
445,AIOE,-0.369307167080546,-0.352293718609556,179,76201909.5516,0.981858805630223,3,cps_occ_ind_2021_2022,FALSE
446,AIOE,0.166962793970618,0.179809319331705,169,31166928.0383,0.995322112788135,3,cps_occ_ind_2021_2022,FALSE
447,AIOE,-0.277705254480744,-0.261403570893575,99,11216532.2512,0.999302523465324,3,cps_occ_ind_2021_2022,FALSE
448,AIOE,0.0962944738139575,0.109690105926841,116,28140553.4676,0.984177038626281,3,cps_occ_ind_2021_2022,FALSE
451,AIOE,0.0186106545870326,0.0326099052598064,122,14454443.7398,0.987267638335649,3,cps_occ_ind_2021_2022,FALSE
452,AIOE,-0.271521711478902,-0.255268075237485,188,54989616.3921,0.960146646483603,3,cps_occ_ind_2021_2022,FALSE
453,AIOE,0.0153841459522405,0.0294084672319309,157,25731730.6657,0.969136640021714,3,cps_occ_ind_2021_2022,FALSE
454,AIOE,-0.0108567238961354,0.0033714941052374,180,26212293.9128,0.976883213277773,3,cps_occ_ind_2021_2022,FALSE
481,AIOE,-0.0932739061722389,-0.078405290448782,137,15697535.3299,0.994000081100017,3,cps_occ_ind_2021_2022,FALSE
482,AIOE,-0.433784129442233,-0.416269682287681,109,5347283.1445,0.995637450509584,3,cps_occ_ind_2021_2022,FALSE
483,AIOE,-0.178291179260825,-0.162761962598096,66,1921113.9402,0.977789128423615,3,cps_occ_ind_2021_2022,FALSE
484,AIOE,-0.76953984283625,-0.749416507727801,135,53386970.0834,0.997079309001623,3,cps_occ_ind_2021_2022,FALSE
485,AIOE,-0.0934535612081562,-0.0785835495297227,116,21757101.6886,0.964659297114712,3,cps_occ_ind_2021_2022,FALSE
486,AIOE,-0.128559454441269,-0.113416663065237,64,1310860.4707,0.995919021751461,3,cps_occ_ind_2021_2022,FALSE
487,AIOE,0.165317595020981,0.178176903901605,53,704599.9566,0.784441115931465,3,cps_occ_ind_2021_2022,FALSE
488,AIOE,-0.188693588700373,-0.173083543269597,191,19555921.116,0.962767461749513,3,cps_occ_ind_2021_2022,FALSE
491,AIOE,-0.692511285345004,-0.672986477283835,98,15011344.4747,0.997503667726767,3,cps_occ_ind_2021_2022,FALSE
492,AIOE,-0.808312832002403,-0.787888223139445,131,36377339.8454,0.990751710061175,3,cps_occ_ind_2021_2022,FALSE
493,AIOE,-0.886370835274158,-0.86533970036766,173,27480566.1944,0.997935196474339,3,cps_occ_ind_2021_2022,FALSE
511,AIOE,0.953826178270701,0.960558620318324,115,10193905.853,0.995228090338398,3,cps_occ_ind_2021_2022,FALSE
512,AIOE,0.462167980287548,0.472720703268552,136,12878624.8836,0.985383916460397,3,cps_occ_ind_2021_2022,FALSE
515,AIOE,0.74391097203828,0.752274496539701,125,8082532.0499,0.989851611329221,3,cps_occ_ind_2021_2022,FALSE
517,AIOE,0.477771427973937,0.488202909096397,168,20555535.6209,0.995120396082779,3,cps_occ_ind_2021_2022,FALSE
518,AIOE,1.01602585780529,1.02227499610497,86,3136386.6716,0.985074322633401,3,cps_occ_ind_2021_2022,FALSE
519,AIOE,0.941116511253771,0.947947709914776,123,11680971.5689,0.98540484958113,3,cps_occ_ind_2021_2022,FALSE
522,AIOE,1.13779982568768,1.14310275629757,227,80230470.8166,0.983292828799233,3,cps_occ_ind_2021_2022,FALSE
523,AIOE,1.09173068945463,1.09739158631728,168,33921623.4494,0.986483320443422,3,cps_occ_ind_2021_2022,FALSE
524,AIOE,1.16453512707873,1.16963031913657,200,67265722.2741,0.995316541325733,3,cps_occ_ind_2021_2022,FALSE
531,AIOE,0.74738949293122,0.755725988640895,217,68559405.6685,0.977249551777365,3,cps_occ_ind_2021_2022,FALSE
532,AIOE,0.232604862779291,0.244941336350484,121,7352202.5469,0.953315584226869,3,cps_occ_ind_2021_2022,FALSE
541,AIOE,0.983591691048635,0.99009284920553,359,316003884.9392,0.990673460753455,3,cps_occ_ind_2021_2022,FALSE
551,AIOE,0.944405931407475,0.951211570626683,70,1939093.3916,0.976903023898706,3,cps_occ_ind_2021_2022,FALSE
561,AIOE,-0.424291684933259,-0.406850995940205,338,145462311.4168,0.988225078454135,3,cps_occ_ind_2021_2022,FALSE
562,AIOE,-0.47038441408433,-0.452585575516906,121,11696949.5845,0.990757332801496,3,cps_occ_ind_2021_2022,FALSE
611,AIOE,0.747427608310792,0.755763807856468,329,326622668.322399,0.992346315386463,3,cps_occ_ind_2021_2022,FALSE
621,AIOE,0.262636322972588,0.274739446189311,292,189179089.3787,0.925562306211388,3,cps_occ_ind_2021_2022,FALSE
622,AIOE,0.242494107655768,0.254753739848536,290,170693347.3137,0.966700810982883,3,cps_occ_ind_2021_2022,FALSE
