occ2010,metric,value,z,pctile
0010,AIOE,1.334246,1.33802250518418,0.914798206278027
0020,AIOE,0.5748773,0.584554249390981,0.661434977578475
0040,AIOE,1.294387,1.29847321745654,0.890134529147982
0050,AIOE,1.290656,1.29477120806063,0.883408071748879
0060,AIOE,0,0.0141438591206107,0.523542600896861
0100,AIOE,0.3699139,0.381183455336072,0.614349775784753
0110,AIOE,1.059853,1.06576159278173,0.775784753363229
0120,AIOE,1.44577236040475,1.44868228382547,0.975336322869955
0135,AIOE,1.298235,1.30229131773944,0.899103139013453
0136,AIOE,1.320417,1.32430095923507,0.903587443946188
0137,AIOE,1.284423,1.28858663969699,0.874439461883408
0140,AIOE,0.5086878,0.51887905482894,0.650224215246637
0150,AIOE,1.423426,1.42650955903778,0.964125560538117
0160,AIOE,0.888989796686153,0.896226030175417,0.710762331838565
0205,AIOE,-0.144368330650994,-0.129102701196374,0.491031390134529
0220,AIOE,1.029139,1.03528624660479,0.753363228699552
0230,AIOE,1.15036099820318,1.15556632603118,0.816143497757848
0300,AIOE,0.8370105,0.84465062285158,0.699551569506727
0310,AIOE,-0.1213112,-0.10622472898709,0.493273542600897
0340,AIOE,0.4021726,0.413191498890087,0.625560538116592
0350,AIOE,1.260259,1.26461039873132,0.860986547085202
0360,AIOE,1.327906,1.33173176823159,0.908071748878924
0410,AIOE,1.215396,1.22009599306823,0.840807174887892
0420,AIOE,1.156153,1.16131332283445,0.820627802690583
0425,AIOE,1.030768,1.03690258895428,0.755605381165919
0430,AIOE,0.476937475365024,0.487375436463338,0.645739910313901
0500,AIOE,1.068559,1.0743999454488,0.780269058295964
0540,AIOE,1.25881918774763,1.26318177410343,0.858744394618834
0565,AIOE,0.697959799515219,0.706680373668158,0.681614349775785
0600,AIOE,1.367669,1.37118580189812,0.943946188340807
0630,AIOE,1.35764294325978,1.36123764959142,0.934977578475336
0640,AIOE,1.440985,1.443932122153,0.973094170403587
0650,AIOE,1.198409,1.20324098540047,0.836322869955157
0700,AIOE,1.297303,1.30136655956281,0.894618834080718
0710,AIOE,1.432417,1.43543069719878,0.968609865470852
0725,AIOE,0.3740207,0.385258344692048,0.616591928251121
0726,AIOE,1.242567,1.24705586905227,0.849775784753363
0735,AIOE,1.42494804556475,1.42801977800903,0.966367713004484
0740,AIOE,1.04544079687593,1.05146137531157,0.771300448430493
0800,AIOE,1.48195509354024,1.48458387000546,0.979820627802691
0820,AIOE,1.502988,1.50545334664374,0.986547085201794
0830,AIOE,1.345268,1.34895886207557,0.928251121076233
0840,AIOE,0,0.0141438591206107,0.523542600896861
0850,AIOE,1.400749,1.40400876378954,0.957399103139013
0860,AIOE,1.326652,1.33048751205832,0.905829596412556
0900,AIOE,0.804721788669744,0.812612801161249,0.697309417040359
0910,AIOE,1.38556845494101,1.38894617455247,0.95067264573991
0930,AIOE,1.36682,1.37034339879516,0.941704035874439
0940,AIOE,1.29371,1.29780147787974,0.887892376681614
0950,AIOE,1.36087105529533,1.36444067856131,0.937219730941704
1005,AIOE,1.154269,1.15944396188513,0.818385650224215
1006,AIOE,1.19815,1.20298399788143,0.834080717488789
1007,AIOE,1.250146,1.25457597873108,0.852017937219731
1010,AIOE,1.271506,1.27577000732844,0.86322869955157
1020,AIOE,1.85109341108634,1.85085391019529,0.993273542600897
1030,AIOE,1.69779515709252,1.69874681379683,0.991031390134529
1050,AIOE,0.383831766232843,0.394993177009908,0.621076233183857
1060,AIOE,2.06460612169158,2.06270758502993,0.997757847533632
1105,AIOE,0.7895315,0.797540544023199,0.692825112107623
1106,AIOE,0.5803306,0.589965176177029,0.663677130044843
1107,AIOE,1.92651707882373,1.92569152119455,0.995515695067265
1200,AIOE,1.516474,1.51883455777034,0.988789237668161
1220,AIOE,1.40002,1.40328542826297,0.955156950672646
1240,AIOE,1.18762276189583,1.19253855848859,0.831838565022422
1300,AIOE,1.040765,1.04682191029734,0.76457399103139
1310,AIOE,0.21820257618327,0.230650958355003,0.582959641255605
1320,AIOE,1.338738,1.34247960146037,0.917040358744395
1340,AIOE,0.96419375,0.970845633975439,0.730941704035875
1350,AIOE,1.341336,1.3450574144892,0.92152466367713
1360,AIOE,1.2824220443852,1.28660123190101,0.869955156950673
1400,AIOE,1.141812,1.14708375522608,0.807174887892377
1410,AIOE,0.896648589518677,0.903825312680744,0.7152466367713
1420,AIOE,1.34223626964693,1.34595068886384,0.923766816143498
1430,AIOE,1.13192891344056,1.13727746219373,0.800448430493274
1440,AIOE,0.547217015301786,0.557108890547105,0.65695067264574
1450,AIOE,1.037278,1.04336200497342,0.757847533632287
1460,AIOE,1.004709,1.01104607251146,0.744394618834081
1520,AIOE,1.2973645,1.30142758169571,0.896860986547085
1530,AIOE,1.04522883173586,1.05125105718234,0.769058295964126
1540,AIOE,0.893752823638124,0.900952047470834,0.713004484304933
1550,AIOE,0.333010342259729,0.344566645500316,0.609865470852018
1560,AIOE,0.0852323707504679,0.098713957580653,0.54932735426009
1600,AIOE,0.732040277960526,0.740496040090522,0.688340807174888
1610,AIOE,0.951565889846303,0.958315894779701,0.726457399103139
1640,AIOE,0.0407342773779218,0.0545616231487291,0.540358744394619
1650,AIOE,1.29060917632332,1.29472474821313,0.881165919282511
