date,unemploy_level,lf_level,full_unrate
1948-01-01,2034,60095,0.03384640985106914
1948-02-01,2328,60524,0.03846408036481396
1948-03-01,2399,60070,0.03993674046945231
1948-04-01,2386,60677,0.03932297246073471
1948-05-01,2118,59972,0.03531648102447809
1948-06-01,2214,60957,0.03632068507308431
1948-07-01,2213,61181,0.03617136038966346
1948-08-01,2350,60806,0.03864750189126073
1948-09-01,2302,60815,0.03785250349420373
1948-10-01,2259,60646,0.037248952940012535
1948-11-01,2285,60702,0.03764291127145728
1948-12-01,2429,61169,0.039709656852327156
1949-01-01,2596,60771,0.042717743660627604
1949-02-01,2849,61057,0.046661316474769475
1949-03-01,3030,61073,0.049612758502120415
1949-04-01,3260,61007,0.053436490894487515
1949-05-01,3707,61259,0.06051355719159634
1949-06-01,3776,60948,0.061954452976307674
1949-07-01,4111,61301,0.06706252752809905
1949-08-01,4193,61590,0.06807923364182497
1949-09-01,4049,61633,0.06569532555611442
1949-10-01,4916,62185,0.07905443434911956
1949-11-01,3996,62005,0.06444641561164423
1949-12-01,4063,61908,0.06562964398785294
1950-01-01,4026,61661,0.06529248633658229
1950-02-01,3936,61687,0.06380598829575113
1950-03-01,3876,61604,0.06291799233815985
1950-04-01,3575,62158,0.05751472055085428
1950-05-01,3434,62083,0.05531304866066395
1950-06-01,3367,62419,0.05394190871369295
1950-07-01,3120,62121,0.05022456174240595
1950-08-01,2799,62596,0.04471531727266918
1950-09-01,2774,62349,0.04449149144332708
1950-10-01,2625,62428,0.04204843980265265
1950-11-01,2589,62286,0.04156632309026105
1950-12-01,2639,62068,0.042517883611522846
1951-01-01,2305,61941,0.03721283156552203
1951-02-01,2117,61778,0.0342678623458189
1951-03-01,2125,62526,0.033985861881457316
1951-04-01,1919,61808,0.031047760807662438
1951-05-01,1856,62044,0.029914254400103153
1951-06-01,1995,61615,0.0323784792664124
1951-07-01,1950,62106,0.03139793256690175
1951-08-01,1933,61927,0.031214171524536954
1951-09-01,2067,61780,0.03345742958886371
1951-10-01,2194,62204,0.03527104366278696
1951-11-01,2178,62014,0.0351211016867159
1951-12-01,1960,62457,0.03138159053428759
1952-01-01,1972,62432,0.0315863659661712
1952-02-01,1957,62419,0.03135263301238405
1952-03-01,1813,61721,0.029374119019458533
1952-04-01,1811,61720,0.029342190537913156
1952-05-01,1863,62058,0.030020303586967032
1952-06-01,1884,62103,0.030336698710207236
1952-07-01,1991,61962,0.032132597398405474
1952-08-01,2087,61877,0.03372820272476041
1952-09-01,1936,62457,0.030997326160398353
1952-10-01,1839,61971,0.02967517064433364
1952-11-01,1743,62491,0.027892016450368852
1952-12-01,1667,62621,0.02662046278405008
1953-01-01,1839,63439,0.028988477119752835
1953-02-01,1636,63520,0.02575566750629723
1953-03-01,1647,63657,0.02587303831471794
1953-04-01,1723,63167,0.027276900913451644
1953-05-01,1596,62615,0.02548910005589715
1953-06-01,1607,63063,0.025482454053882626
1953-07-01,1660,63057,0.026325388140888403
1953-08-01,1665,62816,0.026505985736118187
1953-09-01,1821,62727,0.029030561002439143
1953-10-01,1974,62867,0.03139962142300412
1953-11-01,2211,62949,0.03512367154363056
1953-12-01,2818,62795,0.04487618440958675
1954-01-01,3077,63101,0.04876309408725694
1954-02-01,3331,63994,0.05205175485201738
1954-03-01,3607,63793,0.05654225385230354
